影院,#genre#
桥,http://kantv.255520.xyz/TV/Film/1969_qiao.m3u8
八二三炮战,http://kantv.255520.xyz/TV/Film/1979_baersanpaozhan.m3u8
秋莲,http://kantv.255520.xyz/TV/Film/1979_qiulian.m3u8
阿Q正传,http://kantv.255520.xyz/TV/Film/1981_azhengchuan.m3u8
包氏父子,http://kantv.255520.xyz/TV/Film/1983_baoshifuzi.m3u8
大决战之淮海战役,http://kantv.255520.xyz/TV/Film/1991_dajuezhanzhihuaihaizhanyi.m3u8
辛德勒的名单,http://kantv.255520.xyz/TV/Film/1993_xindeledemingdan.m3u8
超级大国民,http://kantv.255520.xyz/TV/Film/1995_chaojidaguomin.m3u8
大话西游之月光宝盒,http://kantv.255520.xyz/TV/Film/1995_dahuaxiyouzhiyueguangbaohe.m3u8
举起手来,http://kantv.255520.xyz/TV/Film/2003_juqishoulai.m3u8
放牛班的春天,http://kantv.255520.xyz/TV/Film/2004_fangniubandechuntian.m3u8
立春,http://kantv.255520.xyz/TV/Film/2007_lichun.m3u8
落叶归根,http://kantv.255520.xyz/TV/Film/2007_luoyeguigen.m3u8
色戒,http://kantv.255520.xyz/TV/Film/2007_sejie.m3u8
司令阿根,http://kantv.255520.xyz/TV/Film/2007_silingagen.m3u8
武僧,http://kantv.255520.xyz/TV/Film/2007_wuseng.m3u8
遥望南方的童年,http://kantv.255520.xyz/TV/Film/2007_yaowangnanfangdetongnian.m3u8
超强台风2008,http://kantv.255520.xyz/TV/Film/2008_chaoqiangtaifeng.m3u8
非诚勿扰,http://kantv.255520.xyz/TV/Film/2008_feichengwurao.m3u8
狂蟒惊魂,http://kantv.255520.xyz/TV/Film/2008_kuangmangjinghun.m3u8
梅兰芳,http://kantv.255520.xyz/TV/Film/2008_meilanfang.m3u8
秘岸,http://kantv.255520.xyz/TV/Film/2008_mian.m3u8
一八九五,http://kantv.255520.xyz/TV/Film/2008_yibajiuwu.m3u8
斗牛,http://kantv.255520.xyz/TV/Film/2009_douniu.m3u8
花木兰2009,http://kantv.255520.xyz/TV/Film/2009_huamulan.m3u8
南京南京,http://kantv.255520.xyz/TV/Film/2009_nanjingnanjing.m3u8
三枪拍案惊奇,http://kantv.255520.xyz/TV/Film/2009_sanqiangpaianjingqi.m3u8
袁隆平,http://kantv.255520.xyz/TV/Film/2009_yuanlongping.m3u8
走路上学,http://kantv.255520.xyz/TV/Film/2009_zoulushangxue.m3u8
非诚勿扰2,http://kantv.255520.xyz/TV/Film/2010_feichengwurao.m3u8
裸山,http://kantv.255520.xyz/TV/Film/2010_luoshan.m3u8
人在囧途,http://kantv.255520.xyz/TV/Film/2010_renzaitu.m3u8
唐山大地震,http://kantv.255520.xyz/TV/Film/2010_tangshandadizhen.m3u8
血染北沙河,http://kantv.255520.xyz/TV/Film/2010_xieranbeishahe.m3u8
芳华,http://kantv.255520.xyz/TV/Film/2017_fanghua.m3u8
五十度黑,http://kantv.255520.xyz/TV/Film/2017_wushiduhei.m3u8
我不是药神,http://kantv.255520.xyz/TV/Film/2018_wobushiyaoshen.m3u8
误杀,http://kantv.255520.xyz/TV/Film/2019_wusha.m3u8
我和我的家乡,http://kantv.255520.xyz/TV/Film/2020_wohewodejiaxiang.m3u8
没有过不去的年,http://kantv.255520.xyz/TV/Film/2021_meiyouguobuqudenian.m3u8
山路十八湾,http://kantv.255520.xyz/TV/Film/2021_shanlushibawan.m3u8
大日子,http://kantv.255520.xyz/TV/Film/2022_darizi.m3u8
隐入尘烟,http://kantv.255520.xyz/TV/Film/2022_yinruchenyan.m3u8
忠犬八公的故事,https://vip.lzcdn2.com/20220318/6_17e97376/index.m3u8
忠犬八公的故事,https://vip.lzcdn2.com/20220318/6_17e97376/1200k/hls/mixed.m3u8
V字仇杀队,https://vip.lzcdn2.com/20220511/6207_b5c9a8dc/index.m3u8
V字仇杀队,https://vip.lzcdn2.com/20220511/6207_b5c9a8dc/1200k/hls/mixed.m3u8
为什么贫穷：读书致贫,https://cache-oss-internal.maofan.top/qUick/d242f5026ba49d4df3e9cf9a07d02814.m3u8
为什么贫穷：读书致贫,https://v7.dious.cc/20220913/1qv3eYqE/index.m3u8
为什么贫穷：读书致贫,https://v7.dious.cc/20220913/1qv3eYqE/1500kb/hls/index.m3u8
永生战士,http://kantv.255520.xyz/TV/Film/2022_yongshengzhanshi.m3u8
封神：朝歌风云,http://kantv.255520.xyz/TV/Film/2023_fengshenchaogefengyun.m3u8
人生路不熟,http://kantv.255520.xyz/TV/Film/2023_renshenglubushu.m3u8
三大队电影版,http://kantv.255520.xyz/TV/Film/2023_sandaduidianyingban.m3u8
中国乒乓之绝地反击,http://kantv.255520.xyz/TV/Film/2023_zhongguopingpangzhijuedifanji.m3u8
巨鳄2,http://kantv.255520.xyz/TV/Film/2024_jue.m3u8
猫妖奇谭,http://kantv.255520.xyz/TV/Film/2024_maoyaoqitan.m3u8
A计划,https://vip.ffzy-play7.com/20221115/4631_7c6bb09a/index.m3u8
A计划续集,https://vip.ffzy-play7.com/20221115/4412_bf4bdaf6/index.m3u8
97家有喜事,https://vip.ffzy-play6.com/20221129/9285_97e3dfc9/index.m3u8
阿虎,https://vip.ffzy-play2.com/20221019/3_0fc63857/index.m3u8
阿飞正传,https://vip.ffzy-play7.com/20221112/3705_a3bb4cae/index.m3u8
阿郎的故事,https://vip.ffzy-play6.com/20221116/7213_5f9198b2/index.m3u8
爱情呼叫转移,https://vip.ffzy-play2.com/20221021/64_ed0aeec3/index.m3u8
爱情呼叫转移:爱情左右,https://vip.ffzy-play2.com/20221021/65_57ffccd0/index.m3u8
爱情神话,https://vip.ffzy-online.com/20221015/575_a2c32b8f/index.m3u8
暗战,https://vip.ffzy-online.com/20221015/583_fb343007/index.m3u8
澳门风云1,https://vip.ffzy-online.com/20221015/587_536debfc/index.m3u8
澳门风云2,https://vip.lz-cdn8.com/20220903/25590_a12ec6f7/index.m3u8
澳门风云3,https://vip.lz-cdn8.com/20220903/25592_5fdbb860/index.m3u8
八星报喜,https://vip.ffzy-play6.com/20221116/7216_cb25f71a/index.m3u8
霸王别姬,https://vip.ffzy-play7.com/20221112/3726_f8288d50/index.m3u8
白蛇传说,https://vip.ffzy-play7.com/20221224/9605_263ee1e0/index.m3u8
半生缘,https://vip.ffzy-play7.com/20221112/3733_3f971a67/index.m3u8
玻璃樽,https://vip.ffzy-play7.com/20221112/3750_97a1bebc/index.m3u8
宝贝计划,https://vip.ffzy-play2.com/20221021/73_d5c05ae2/index.m3u8
不二神探,https://cdn2.yzzy-tv-cdn.com/20220330/4069_8714f6bb/index.m3u8
不见不散,https://vip.ffzy-play7.com/20221112/3752_596da0f3/index.m3u8
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
超级计划,https://vip.ffzy-play7.com/20221112/3764_fd2b007a/index.m3u8
超时空同居,https://vip.ffzy-online.com/20221015/745_b4a413ef/index.m3u8
城市猎人,https://vip.ffzy-play7.com/20230112/11075_f5a96711/index.m3u8
春娇与志明,https://vip.ffzy-play6.com/20221021/451_53670596/index.m3u8
催眠大师,https://vip.ffzy-play7.com/20221028/433_adf31dfd/index.m3u8
大腕,https://vip.ffzy-play6.com/20221019/66_5c1f5d09/index.m3u8
大上海,https://vip.ffzy-play6.com/20221126/8327_89044d87/index.m3u8
大唐玄奘,https://vip.ffzy-play7.com/20230306/17314_0230edb6/index.m3u8
大兵小将,https://vip.ffzy-play7.com/20230101/10714_0de1384d/index.m3u8
刀剑笑,https://vip.ffzy-play7.com/20221112/3808_6690be34/index.m3u8
狄仁杰之通天帝国,https://vip.ffzy-play2.com/20221021/129_ed646884/index.m3u8
第三个人,https://vip.ffzy-play7.com/20230407/21350_043ad4f7/index.m3u8
刁手怪招,https://cdn7.yzzy-tv-cdn.com/20220625/561_337bba55/index.m3u8
喋血双雄,https://vip.ffzy-play7.com/20221115/4440_bd914a4d/index.m3u8
东方巨龙,https://vip.ffzy-play6.com/20221117/7362_01e144e6/index.m3u8
东方秃鹰,https://vip.ffzy-play7.com/20221209/9044_d3e0dbd4/index.m3u8
赌霸,https://vip.ffzy-play7.com/20221209/9045_b3cb4c1c/index.m3u8
赌城大亨之新哥传奇,https://vip.ffzy-online.com/20221017/864_5fbb1d87/index.m3u8
赌城大亨II之至尊无敌,https://vip.ffzy-online.com/20221017/863_ed22c0c3/index.m3u8
赌神1,https://vip.ffzy-online.com/20221017/865_74da177a/index.m3u8
赌神2,https://vip.lz-cdn.com/20220622/20003_820596d4/index.m3u8
赌侠大战拉斯维加斯,https://vip.ffzy-online.com/20221017/873_cf765959/index.m3u8
法内情,https://vip.ffzy-play6.com/20221128/8900_ee5eabf3/index.m3u8
方世玉,https://cdn4.yzzy-tv-cdn.com/20220606/17350_39c4425b/index.m3u8
方世玉续集,https://vip.ffzy-play6.com/20221129/9315_1d7ec0af/index.m3u8
飞龙猛将,https://vip.ffzy-play6.com/20221207/10806_a4b679fd/index.m3u8
飞龙再生,https://vip.ffzy-play6.com/20221019/72_1934eddc/index.m3u8
飞鹰计划,https://vip.ffzy-play6.com/20221112/6252_a77ddc97/index.m3u8
非诚勿扰1,https://vip.ffzy-play2.com/20221021/162_cb2bb175/index.m3u8
非诚勿扰2,https://vip.ffzy-play2.com/20221021/163_a55441c0/index.m3u8
疯狂的赛车,https://vip.ffzy-play2.com/20221021/169_37d917eb/index.m3u8
疯狂的石头,https://vip.ffzy-play2.com/20221021/170_91678c84/index.m3u8
疯狂的外星人,https://vip.ffzy-online2.com/20230607/38938_95adfc88/index.m3u8
福星高照,https://vip.ffzy-play6.com/20221128/8904_328483ba/index.m3u8
富贵兵团,https://vip.ffzy-play7.com/20221209/9048_80e2a1cb/index.m3u8
富贵列车,https://vip.ffzy-play7.com/20221206/8232_7462fce8/index.m3u8
肝胆相照,https://vip.ffzy-play7.com/20221115/4468_44f459bb/index.m3u8
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
人在囧途之囧妈,https://vip.ffzy-online.com/20230122/54089_b5925cb9/index.m3u8
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
搞定岳父大人,https://vip.ffzy-play6.com/20221021/474_a64f2156/index.m3u8
给爸爸的信,https://cdn2.yzzy-tv-cdn.com/20220414/13070_86734093/index.m3u8
功夫瑜伽,https://vip.ffzy-play2.com/20221124/1291_468b2efb/index.m3u8
孤男寡女,https://vip.ffzy-play6.com/20221021/643_da3f8354/index.m3u8
古董局中局,https://vip.ffzy-online.com/20221017/983_2bd33011/index.m3u8
鬼干部,https://vip.ffzy-play6.com/20221112/6298_1dd44909/index.m3u8
鬼咬鬼,https://vip.ffzy-play7.com/20221208/8822_26a70529/index.m3u8
鬼打鬼,https://vip.ffzy-play7.com/20221115/4476_05997c13/index.m3u8
鬼打鬼之黄金道士,https://vip.ffzy-play6.com/20221112/6296_32b14901/index.m3u8
过年,https://vip.ffzy-play6.com/20221112/6307_79a4bfc2/index.m3u8
寒战1,https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8
寒战2,https://vip.lz-cdn3.com/20220907/12892_5eb849b0/index.m3u8
行运一条龙,https://vip.ffzy-play6.com/20221112/6024_432f2afd/index.m3u8
豪门夜宴,https://vip.ffzy-play.com/20221204/29458_3909f6d0/index.m3u8
和平饭店,https://vip.ffzy-play6.com/20221129/9326_fb193a3f/index.m3u8
黑金,https://vip.ffzy-play6.com/20221022/751_a7889097/index.m3u8
黑侠,https://vip.ffzy-play6.com/20221112/6336_a08140a7/index.m3u8
红番区,https://vip.ffzy-play6.com/20221112/6346_239e11e8/index.m3u8
洪熙官,https://vip.ffzy-play7.com/20221223/9381_0fb84a1d/index.m3u8
花木兰,https://cdn2.yzzy-tv-cdn.com/20220405/7667_13f7046c/index.m3u8
花旗少林,https://vip.ffzy-play6.com/20221112/6363_411e98e2/index.m3u8
哗！英雄,https://vip.ffzy-play6.com/20221112/6371_9b5bf930/index.m3u8
画皮之阴阳法王,https://vip.ffzy-play6.com/20221112/6372_478fbcc6/index.m3u8
黄河遥,https://vip.ffzy-play7.com/20221117/5148_d5633e82/index.m3u8
黄大仙,https://vip.ffzy-play6.com/20221129/9334_1b618e68/index.m3u8
黄飞鸿92之龙行天下,https://vip.ffzy-play7.com/20221129/7657_0e98ee6f/index.m3u8
黄飞鸿系列之一代宗师,https://vip.ffzy-play6.com/20221129/9335_097bc8c1/index.m3u8
黄飞鸿之铁鸡斗蜈蚣,https://cdn2.yzzy-tv-cdn.com/20220415/13227_56714be0/index.m3u8
黄飞鸿之一:壮志凌云,https://cdn4.yzzy-tv-cdn.com/20220617/21900_8ceba9f5/index.m3u8
黄飞鸿之二:男儿当自强,https://cdn4.yzzy-tv-cdn.com/20220606/17341_21dfaf46/index.m3u8
活着,https://vip.ffzy-play.com/20221011/100_192cffb5/index.m3u8
火烧岛,https://vip.ffzy-play6.com/20221129/9336_58c74ab9/index.m3u8
火星没事,https://vip.ffzy-play2.com/20221021/232_89153806/index.m3u8
霍元甲,https://vip.ffzy-play2.com/20221021/234_50a8a4b6/index.m3u8
急先锋,https://vip.ffzy-play6.com/20221113/6503_476b3f6c/index.m3u8
记忆切割,https://vip.ffzy-play.com/20221017/1473_691592bd/index.m3u8
没完没了,https://vip.ffzy-play6.com/20221129/9376_7f06747a/index.m3u8
甲方乙方,https://vip.ffzy-play6.com/20221206/10068_4bfccafe/index.m3u8
监狱风云1,https://vip.lz-cdn3.com/20230114/17167_f0f5a918/index.m3u8
监狱风云2,https://vip.lz-cdn3.com/20230114/17169_e351e7c8/index.m3u8
建党伟业,https://vip.ffzy-play6.com/20221019/168_f44e1477/index.m3u8
江湖,https://vip.ffzy-play6.com/20221019/84_a64c541f/index.m3u8
江湖情,https://vip.ffzy-play7.com/20221115/4682_5ffb4872/index.m3u8
江湖儿女,https://vip.ffzy-play7.com/20230205/13419_960c8951/index.m3u8
